original,author,work,language
"carpe diem, quam minimum credula postero.","Horace","Odes 1.11","latin"
"Dum loquimur, fugerit invida aetas.","Horace","Odes 1.11","latin"
"Non vitae sed scholae discimus.","Seneca","Epistulae Morales 106.12","latin"
"Tamdiu discendum est quemadmodum vivas quamdiu vivas.","Seneca","Epistulae Morales 76.3","latin"
"Concordet sermo cum vita.","Seneca","Epistulae Morales 75.4","latin"
"Solum bonum esse, quod honestum sit.","Cicero","De Finibus 3.29","latin"
"Numquam nec irasci deum nec nocere.","Cicero","De Officiis 3.102","latin"
"Forsan et haec olim meminisse iuvabit.","Virgil","Aeneid 1.203","latin"
"Mens agitat molem.","Virgil","Aeneid 6.727","latin"
"Non quasi decem milia annorum victurus sis.","Marcus Aurelius","Meditations 4.17 (Latin translation)","latin"
"Mors tibi imminet; dum vivis, dum licet, bonus esto.","Marcus Aurelius","Meditations 4.17 (Latin translation)","latin"
"Nec eventus modo hoc docet, stultorum iste magister est.","Livy","Ab Urbe Condita 22.39","latin"
"Potius sero quam numquam.","Livy","Ab Urbe Condita 4.2","latin"
"Nil igitur mors est ad nos neque pertinet hilum.","Lucretius","De Rerum Natura 3.830","latin"
"Tantum religio potuit suadere malorum.","Lucretius","De Rerum Natura 1.101","latin"
"Gutta cavat lapidem, consumitur anulus usu.","Ovid","Epistulae ex Ponto 4.10.5","latin"
"Video meliora proboque, deteriora sequor.","Ovid","Metamorphoses 7.20","latin"
"Sine ira et studio.","Tacitus","Annals 1.1","latin"
"Corruptissima re publica plurimae leges.","Tacitus","Annals 3.27","latin"
"Vae victis.","Livy","Ab Urbe Condita 5.48","latin"
"Veritatem laborare nimis saepe, exstingui numquam.","Livy","Ab Urbe Condita 22.39","latin"
"Nullam rem e nihilo gigni divinitus umquam.","Lucretius","De Rerum Natura 1.150","latin"
"Hunc igitur terrorem animi tenebrasque necessest non radii solis neque lucida tela diei discutiant, sed naturae species ratioque.","Lucretius","De Rerum Natura 1.146-148","latin"
"Omnia mutantur, nihil interit.","Ovid","Metamorphoses 15.165","latin"
"Medio tutissimus ibis.","Ovid","Metamorphoses 2.137","latin"
"Donec eris sospes, multos numerabis amicos; tempora si fuerint nubila, solus eris.","Ovid","Tristia 1.9.5-6","latin"
"Ubi solitudinem faciunt, pacem appellant.","Tacitus","Agricola 30","latin"
"Rara temporum felicitas, ubi sentire quae velis et quae sentias dicere licet.","Tacitus","Histories 1.1","latin"
"Ne virtutes sileantur utque pravis dictis factisque ex posteritate et infamia metus sit.","Tacitus","Annals 4.33","latin"
"學而時習之，不亦說乎？","Confucius","Analects 1.1","classical chinese"
"人不知而不慍，不亦君子乎？","Confucius","Analects 1.1","classical chinese"
"君子喻於義，小人喻於利。","Confucius","Analects 4.16","classical chinese"
"知之者不如好之者，好之者不如樂之者。","Confucius","Analects 6.20","classical chinese"
"己所不欲，勿施於人。","Confucius","Analects 15.24","classical chinese"
"道可道，非常道；名可名，非常名。","Laozi","Dao De Jing 1","classical chinese"
"知人者智，自知者明。","Laozi","Dao De Jing 33","classical chinese"
"勝人者有力，自勝者強。","Laozi","Dao De Jing 33","classical chinese"
"知足者富。","Laozi","Dao De Jing 33","classical chinese"
"吾生也有涯，而知也無涯。","Zhuangzi","Zhuangzi, Yangshengzhu","classical chinese"
"兼相愛，交相利。","Mozi","Mozi, Jian'ai","classical chinese"
"天下兼相愛則治，交相惡則亂。","Mozi","Mozi, Jian'ai","classical chinese"
"宰相必起於州部，猛將必發於卒伍。","Han Feizi","Han Feizi, Xianxue","classical chinese"
"千丈之堤，以螻蟻之穴潰。","Han Feizi","Han Feizi, Yu Lao","classical chinese"
"知彼知己，百戰不殆。","Sunzi","The Art of War, Mougong","classical chinese"
"兵者，詭道也。","Sunzi","The Art of War, Ji","classical chinese"
"人固有一死，或重於泰山，或輕於鴻毛。","Sima Qian","Letter to Ren An","classical chinese"
"桃李不言，下自成蹊。","Sima Qian","Records of the Grand Historian, Li Jiangjun Liezhuan","classical chinese"
"得道者多助，失道者寡助。","Mencius","Mencius, Gongsun Chou II","classical chinese"
"生於憂患而死於安樂也。","Mencius","Mencius, Gaozi II","classical chinese"
"仁人之所以為事者，必興天下之利，除去天下之害。","Mozi","Mozi, Jian'ai Zhong","classical chinese"
"視人之國若視其國，視人之家若視其家，視人之身若視其身。","Mozi","Mozi, Jian'ai Zhong","classical chinese"
"法不阿貴，繩不撓曲。","Han Feizi","Han Feizi, Youdu","classical chinese"
"儒以文亂法，俠以武犯禁。","Han Feizi","Han Feizi, Wudu","classical chinese"
"百戰百勝，非善之善者也；不戰而屈人之兵，善之善者也。","Sunzi","The Art of War, Mougong","classical chinese"
"上兵伐謀，其次伐交，其次伐兵，其下攻城。","Sunzi","The Art of War, Mougong","classical chinese"
"究天人之際，通古今之變，成一家之言。","Sima Qian","Letter to Ren An","classical chinese"
"不飛則已，一飛沖天；不鳴則已，一鳴驚人。","Sima Qian","Records of the Grand Historian, Huaji Liezhuan","classical chinese"
"老吾老，以及人之老；幼吾幼，以及人之幼。","Mencius","Mencius, Liang Hui Wang I","classical chinese"
"富貴不能淫，貧賤不能移，威武不能屈。","Mencius","Mencius, Teng Wen Gong II","classical chinese"
